Déplacement (mm);Force (N)
8.31;5086.53
8.31;5102.52
8.31;5134.52
8.31;5118.52
8.31;5134.52
8.31;5150.51
8.37;5118.52
8.37;5134.52
8.37;5166.51
8.37;5150.51
8.37;5182.5
8.37;5102.52
8.37;5150.51
8.42;5150.51
8.42;5102.52
8.42;5102.52
8.42;5118.52
8.42;5134.52
8.42;5134.52
8.48;5118.52
8.48;5102.52
8.48;5150.51
8.48;5118.52
8.48;5118.52
8.48;5134.52
8.48;5150.51
8.48;5150.51
8.54;5118.52
8.54;5118.52
8.54;5118.52
8.54;5150.51
8.54;5150.51
8.54;5150.51
8.59;5134.52
8.59;5134.52
8.59;5134.52
8.59;5166.51
8.59;5150.51
8.59;5150.51
8.59;5150.51
8.65;5134.52
8.65;5134.52
8.65;5134.52
8.65;5134.52
8.65;5166.51
8.65;5150.51
8.65;5166.51
8.65;5166.51
8.7;5150.51
8.7;5150.51
8.7;5166.51
8.7;5150.51
8.7;5182.5
8.7;5182.5
8.76;5166.51
8.76;5166.51
8.76;5182.5
8.76;5166.51
8.76;5182.5
8.76;5166.51
8.76;5182.5
8.76;5166.51
8.76;5182.5
8.76;5182.5
8.76;5182.5
8.82;5166.51
8.82;5166.51
8.82;5182.5
8.87;5166.51
8.87;5166.51
8.87;5182.5
8.87;5166.51
8.87;5198.5
8.87;5166.51
8.87;5182.5
8.93;5182.5
8.93;5150.51
8.93;5166.51
8.93;5182.5
8.93;5182.5
8.93;5198.5
8.93;5166.51
8.93;5214.49
8.93;5214.49
8.93;5230.49
8.98;5198.5
8.98;5198.5
8.98;5198.5
8.98;5246.48
8.98;5246.48
9.04;5230.49
9.04;5246.48
9.04;5262.48
9.04;5246.48
9.04;5230.49
9.1;5246.48
9.1;5214.49
9.1;5214.49
9.1;5166.51
9.1;5214.49
9.1;5246.48
9.15;5150.51
9.15;5214.49
9.15;5198.5
9.15;5230.49
9.15;5230.49
9.15;5246.48
9.15;5246.48
9.15;5246.48
9.15;5262.48
9.21;5230.49
9.21;5230.49
9.21;5230.49
9.21;5246.48
9.21;5246.48
9.21;5230.49
9.21;5294.47
9.27;5214.49
9.27;5230.49
9.27;5294.47
9.27;5326.46
9.27;5310.46
9.27;5294.47
9.27;5294.47
9.32;5246.48
9.32;5294.47
9.32;5326.46
9.32;5262.48
9.38;5262.48
9.38;5262.48
9.38;5310.46
9.38;5326.46
9.38;5374.45
9.38;5358.45
9.38;5374.45
9.38;5230.49
9.38;5278.47
9.43;5358.45
9.43;5214.49
9.43;5294.47
9.43;5246.48
9.43;5294.47
9.43;5262.48
9.49;5246.48
9.49;5230.49
9.49;5278.47
9.49;5262.48
9.49;5246.48
9.49;5294.47
9.55;5246.48
9.55;5278.47
9.55;5278.47
9.55;5262.48
9.55;5262.48
9.55;5294.47
9.55;5246.48
9.55;5278.47
9.55;5278.47
9.55;5294.47
9.6;5278.47
9.6;5262.48
9.6;5246.48
9.6;5294.47
9.6;5278.47
9.6;5294.47
9.66;5278.47
9.66;5262.48
9.66;5262.48
9.66;5294.47
9.66;5278.47
9.66;5278.47
9.66;5310.46
9.71;5278.47
9.71;5278.47
9.71;5294.47
9.71;5294.47
9.71;5294.47
9.71;5310.46
9.71;5310.46
9.77;5294.47
9.77;5278.47
9.77;5294.47
9.77;5310.46
9.77;5310.46
9.77;5294.47
9.77;5310.46
9.83;5278.47
9.83;5294.47
9.83;5278.47
9.83;5294.47
9.83;5294.47
9.83;5310.46
9.83;5310.46
9.88;5294.47
9.88;5278.47
9.88;5294.47
9.88;5310.46
9.88;5310.46
9.88;5310.46
9.94;5294.47
9.94;5278.47
9.94;5310.46
9.94;5294.47
9.94;5294.47
9.94;5326.46
10;5294.47
10;5326.46
10;5326.46
10;5326.46
10;5294.47
10;5294.47
10;5278.47
10.05;5310.46
10.05;5310.46
10.05;5214.49
10.05;5278.47
10.05;5246.48
10.05;5294.47
10.05;5294.47
10.11;5246.48
10.11;5246.48
10.11;5262.48
10.11;5278.47
10.11;5262.48
10.11;5310.46
10.11;5294.47
10.16;5294.47
10.16;5294.47
10.16;5294.47
10.16;5262.48
10.16;5294.47
10.16;5246.48
10.16;5262.48
10.16;5246.48
10.22;5246.48
10.22;5230.49
10.22;5246.48
10.22;5214.49
10.22;5246.48
10.22;5246.48
10.28;5214.49
10.28;5230.49
10.28;5246.48
10.28;5230.49
10.28;5262.48
10.28;5246.48
10.28;5262.48
10.33;5262.48
10.33;5278.47
10.33;5262.48
10.33;5294.47
10.33;5294.47
10.33;5310.46
10.33;5294.47
10.39;5278.47
10.39;5278.47
10.39;5294.47
10.39;5278.47
10.39;5310.46
10.39;5294.47
10.39;5294.47
10.44;5294.47
10.44;5246.48
10.44;5310.46
10.44;5342.46
10.44;5310.46
10.44;5358.45
10.44;5374.45
10.5;5374.45
10.5;5310.46
10.5;5342.46
10.5;5374.45
10.5;5326.46
10.56;5342.46
10.56;5326.46
10.56;5326.46
10.56;5358.45
10.56;5294.47
10.56;5294.47
10.56;5374.45
10.61;5326.46
10.61;5310.46
10.61;5358.45
10.61;5374.45
10.61;5422.43
10.61;5390.44
10.61;5374.45
10.61;5438.43
10.67;5390.44
10.67;5422.43
10.67;5326.46
10.67;5358.45
10.67;5406.44
10.67;5342.46
10.73;5422.43
10.73;5358.45
10.73;5422.43
10.73;5374.45
10.73;5358.45
10.73;5390.44
10.73;5438.43
10.73;5342.46
10.73;5390.44
10.78;5406.44
10.78;5374.45
10.78;5358.45
10.78;5422.43
10.78;5390.44
10.78;5374.45
10.78;5438.43
10.84;5390.44
10.84;5358.45
10.84;5406.44
10.84;5374.45
10.84;5422.43
10.89;5422.43
10.89;5374.45
10.89;5406.44
10.89;5374.45
10.89;5438.43
10.89;5406.44
10.95;5406.44
10.95;5358.45
10.95;5406.44
10.95;5374.45
10.95;5390.44
10.95;5438.43
10.95;5358.45
10.95;5390.44
11.01;5406.44
11.01;5390.44
11.01;5374.45
11.01;5422.43
11.01;5390.44
11.01;5374.45
11.01;5422.43
11.06;5390.44
11.06;5358.45
11.06;5406.44
11.06;5406.44
11.06;5374.45
11.06;5422.43
11.12;5374.45
11.12;5358.45
11.12;5390.44
11.12;5374.45
11.12;5406.44
11.12;5374.45
11.17;5406.44
11.17;5358.45
11.17;5390.44
11.17;5374.45
11.17;5406.44
11.17;5358.45
11.17;5342.46
11.23;5294.47
11.23;5342.46
11.23;5358.45
11.23;5374.45
11.23;5326.46
11.23;5358.45
11.23;5374.45
11.29;5374.45
11.29;5342.46
11.29;5390.44
11.29;5390.44
11.29;5406.44
11.34;5406.44
11.34;5374.45
11.34;5422.43
11.34;5390.44
11.34;5358.45
11.34;5422.43
11.4;5294.47
11.4;5390.44
11.4;5326.46
11.4;5374.45
11.4;5390.44
11.4;5406.44
11.4;5374.45
11.46;5342.46
11.46;5358.45
11.46;5326.46
11.46;5342.46
11.46;5406.44
11.46;5310.46
11.46;5358.45
11.46;5358.45
11.51;5374.45
11.51;5326.46
11.51;5374.45
11.51;5390.44
11.51;5342.46
11.51;5406.44
11.57;5358.45
11.57;5342.46
11.57;5374.45
11.57;5390.44
11.57;5406.44
11.62;5390.44
11.62;5358.45
11.62;5406.44
11.62;5358.45
11.62;5390.44
11.62;5422.43
11.62;5358.45
11.62;5390.44
11.68;5422.43
11.68;5390.44
11.68;5374.45
11.68;5422.43
11.68;5438.43
11.68;5390.44
11.68;5454.42
11.74;5390.44
11.74;5454.42
11.74;5406.44
11.74;5406.44
11.74;5390.44
11.74;5374.45
11.74;5358.45
11.79;5326.46
11.79;5390.44
11.79;5342.46
11.79;5390.44
11.79;5406.44
11.79;5358.45
11.85;5374.45
11.85;5406.44
11.85;5358.45
11.85;5374.45
11.85;5374.45
11.85;5390.44
11.9;5390.44
11.9;5358.45
11.9;5390.44
11.9;5374.45
11.9;5390.44
11.9;5422.43
11.9;5390.44
11.9;5358.45
11.96;5358.45
11.96;5390.44
11.96;5374.45
11.96;5390.44
11.96;5358.45
11.96;5390.44
12.02;5406.44
12.02;5390.44
12.02;5390.44
12.02;5422.43
12.02;5422.43
12.02;5406.44
12.02;5454.42
12.07;5422.43
12.07;5438.43
12.07;5438.43
12.07;5422.43
12.07;5438.43
12.07;5422.43
12.07;5438.43
12.07;5438.43
12.13;5422.43
12.13;5422.43
12.13;5438.43
12.13;5422.43
12.13;5422.43
12.13;5470.42
12.19;5438.43
12.19;5454.42
12.19;5438.43
12.19;5486.41
12.19;5454.42
12.24;5454.42
12.24;5470.42
12.24;5438.43
12.24;5470.42
12.24;5438.43
12.24;5406.44
12.24;5454.42
12.3;5422.43
12.3;5470.42
12.3;5502.41
12.3;5502.41
12.3;5534.4
12.3;5534.4
12.3;5406.44
12.35;5390.44
12.35;5438.43
12.35;5470.42
12.35;5502.41
12.35;5406.44
12.35;5454.42
12.35;5470.42
12.35;5422.43
12.41;5422.43
12.41;5470.42
12.41;5454.42
12.41;5422.43
12.41;5502.41
12.47;5454.42
12.47;5422.43
12.47;5438.43
12.47;5470.42
12.47;5486.41
12.47;5470.42
12.47;5438.43
12.52;5422.43
12.52;5502.41
12.52;5438.43
12.52;5486.41
12.52;5518.4
12.52;5438.43
12.52;5454.42
12.52;5518.4
12.58;5438.43
12.58;5454.42
12.58;5486.41
12.58;5502.41
12.58;5438.43
12.58;5470.42
12.63;5502.41
12.63;5438.43
12.63;5438.43
12.63;5502.41
12.63;5518.4
12.63;5438.43
12.69;5470.42
12.69;5518.4
12.69;5454.42
12.69;5454.42
12.69;5486.41
12.69;5534.4
12.69;5470.42
12.75;5438.43
12.75;5502.41
12.75;5502.41
12.75;5438.43
12.75;5486.41
12.75;5518.4
12.75;5454.42
12.8;5454.42
12.8;5502.41
12.8;5502.41
12.8;5454.42
12.8;5454.42
12.8;5502.41
12.86;5486.41
12.86;5454.42
12.86;5454.42
