Déplacement (mm);Force (N)
7.86;9485.26
7.86;9485.26
7.92;9469.26
7.92;9469.26
7.92;9469.26
7.92;9485.26
7.92;9469.26
7.92;9485.26
7.97;9469.26
7.97;9501.25
7.97;9485.26
7.97;9501.25
7.97;9485.26
7.97;9501.25
8.03;9469.26
8.03;9485.26
8.03;9469.26
8.03;9485.26
8.03;9469.26
8.03;9485.26
8.03;9469.26
8.03;9501.25
8.09;9485.26
8.09;9501.25
8.09;9485.26
8.09;9501.25
8.09;9485.26
8.09;9501.25
8.09;9485.26
8.09;9501.25
8.14;9485.26
8.14;9501.25
8.14;9501.25
8.14;9501.25
8.2;9485.26
8.2;9485.26
8.2;9485.26
8.2;9501.25
8.2;9485.26
8.2;9501.25
8.2;9485.26
8.2;9501.25
8.2;9501.25
8.25;9485.26
8.25;9485.26
8.25;9501.25
8.25;9485.26
8.25;9501.25
8.25;9501.25
8.31;9485.26
8.31;9501.25
8.31;9517.25
8.31;9501.25
8.31;9517.25
8.31;9517.25
8.31;9517.25
8.37;9501.25
8.37;9485.26
8.37;9485.26
8.37;9517.25
8.37;9517.25
8.42;9485.26
8.42;9501.25
8.42;9517.25
8.42;9501.25
8.42;9517.25
8.42;9517.25
8.42;9501.25
8.42;9517.25
8.48;9501.25
8.48;9501.25
8.48;9517.25
8.48;9501.25
8.48;9517.25
8.48;9501.25
8.48;9517.25
8.48;9517.25
8.48;9517.25
8.54;9501.25
8.54;9501.25
8.54;9501.25
8.54;9517.25
8.54;9517.25
8.59;9501.25
8.59;9501.25
8.59;9517.25
8.59;9501.25
8.59;9533.24
8.59;9501.25
8.59;9533.24
8.59;9533.24
8.65;9517.25
8.65;9517.25
8.65;9533.24
8.65;9501.25
8.65;9533.24
8.65;9517.25
8.7;9501.25
8.7;9501.25
8.7;9517.25
8.7;9517.25
8.7;9517.25
8.7;9501.25
8.7;9517.25
8.7;9533.24
8.76;9517.25
8.76;9517.25
8.76;9533.24
8.76;9517.25
8.76;9533.24
8.76;9533.24
8.76;9533.24
8.82;9517.25
8.82;9517.25
8.82;9517.25
8.82;9533.24
8.82;9517.25
8.82;9533.24
8.87;9517.25
8.87;9533.24
8.87;9517.25
8.87;9533.24
8.87;9517.25
8.87;9533.24
8.93;9517.25
8.93;9533.24
8.93;9517.25
8.93;9533.24
8.93;9517.25
8.93;9533.24
8.93;9549.24
8.93;9533.24
8.98;9517.25
8.98;9517.25
8.98;9517.25
8.98;9533.24
8.98;9533.24
8.98;9533.24
9.04;9517.25
9.04;9517.25
9.04;9517.25
9.04;9533.24
9.04;9517.25
9.04;9533.24
9.04;9533.24
9.1;9517.25
9.1;9533.24
9.1;9549.24
9.1;9533.24
9.1;9549.24
9.1;9533.24
9.1;9549.24
9.1;9533.24
9.15;9517.25
9.15;9517.25
9.15;9533.24
9.15;9517.25
9.15;9533.24
9.15;9549.24
9.21;9517.25
9.21;9533.24
9.21;9549.24
9.21;9533.24
9.21;9549.24
9.21;9549.24
9.27;9533.24
9.27;9517.25
9.27;9549.24
9.27;9533.24
9.27;9549.24
9.27;9533.24
9.27;9549.24
9.32;9533.24
9.32;9549.24
9.32;9533.24
9.32;9549.24
9.32;9533.24
9.32;9549.24
9.32;9517.25
9.32;9549.24
9.32;9549.24
9.38;9517.25
9.38;9533.24
9.38;9549.24
9.38;9533.24
9.38;9549.24
9.38;9549.24
9.43;9533.24
9.43;9533.24
